borough,room_type,minimum_nights_group,price_setting_group,q1,median,q3,whisker_low,whisker_high,sample_size,baseline_median_vacancy,vacancy_lift_pp
All,All,1-2 nights,High fixed price,0.408904,0.678082,0.876712,0.0,1.0,514,0.676712,0.14
All,All,1-2 nights,Normal/lower fixed price,0.363699,0.676712,0.890411,0.0,1.0,410,0.676712,0.0
All,All,3-6 nights,High fixed price,0.326027,0.627397,0.854795,0.0,1.0,346,0.676712,-4.93
All,All,3-6 nights,Normal/lower fixed price,0.243836,0.523288,0.783562,0.0,1.0,197,0.676712,-15.34
All,All,30+ nights,High fixed price,0.487671,0.739726,0.99726,0.0,1.0,1618,0.676712,6.3
All,All,30+ nights,Normal/lower fixed price,0.413699,0.736986,0.980822,0.0,1.0,4163,0.676712,6.03
All,All,7-29 nights,High fixed price,0.175342,0.328767,0.59863,0.0,1.0,23,0.676712,-34.79
All,All,7-29 nights,Normal/lower fixed price,0.391781,0.632877,0.852459,0.0,1.0,17,0.676712,-4.38
All,Entire home/apt,1-2 nights,High fixed price,0.452055,0.687671,0.873973,0.0,1.0,181,0.661644,2.6
All,Entire home/apt,1-2 nights,Normal/lower fixed price,0.35274,0.661644,0.880822,0.0,1.0,132,0.661644,0.0
All,Entire home/apt,3-6 nights,High fixed price,0.34589,0.593151,0.816438,0.0,1.0,118,0.661644,-6.85
All,Entire home/apt,3-6 nights,Normal/lower fixed price,0.325342,0.572603,0.777397,0.0,1.0,72,0.661644,-8.9
All,Entire home/apt,30+ nights,High fixed price,0.454795,0.739726,0.991781,0.0,1.0,1134,0.661644,7.81
All,Entire home/apt,30+ nights,Normal/lower fixed price,0.40274,0.712329,0.931507,0.0,1.0,2693,0.661644,5.07
All,Entire home/apt,7-29 nights,High fixed price,0.213014,0.454795,0.620548,0.0,1.0,10,0.661644,-20.68
All,Entire home/apt,7-29 nights,Normal/lower fixed price,0.303425,0.617808,0.84726,0.0,1.0,4,0.661644,-4.38
All,Private room,1-2 nights,High fixed price,0.376712,0.671233,0.880822,0.0,1.0,327,0.708219,-3.7
All,Private room,1-2 nights,Normal/lower fixed price,0.367808,0.708219,0.89589,0.0,1.0,268,0.708219,0.0
All,Private room,3-6 nights,High fixed price,0.283562,0.635616,0.871918,0.0,1.0,224,0.708219,-7.26
All,Private room,3-6 nights,Normal/lower fixed price,0.149315,0.430137,0.750685,0.0,1.0,119,0.708219,-27.81
All,Private room,30+ nights,High fixed price,0.493151,0.838356,1.0,0.0,1.0,467,0.708219,13.01
All,Private room,30+ nights,Normal/lower fixed price,0.457534,0.739726,0.99726,0.0,1.0,1441,0.708219,3.15
All,Private room,7-29 nights,High fixed price,0.172603,0.213699,0.531507,0.0,1.0,13,0.708219,-49.45
All,Private room,7-29 nights,Normal/lower fixed price,0.411644,0.628767,0.741781,0.0,1.0,12,0.708219,-7.95
All,Shared room,1-2 nights,High fixed price,0.523288,0.850685,0.908904,0.0,1.0,6,0.812329,3.84
All,Shared room,1-2 nights,Normal/lower fixed price,0.515068,0.812329,0.965068,0.0,1.0,10,0.812329,0.0
All,Shared room,3-6 nights,High fixed price,0.777397,0.858904,0.889726,0.608904,1.0,4,0.812329,4.66
All,Shared room,3-6 nights,Normal/lower fixed price,0.832192,0.886301,0.954795,0.648288,1.0,6,0.812329,7.4
All,Shared room,30+ nights,High fixed price,0.687671,0.99726,1.0,0.219178,1.0,17,0.812329,18.49
All,Shared room,30+ nights,Normal/lower fixed price,0.279452,0.731507,0.99726,0.0,1.0,29,0.812329,-8.08
All,Shared room,7-29 nights,Normal/lower fixed price,0.852459,0.852459,0.852459,0.852459,0.852459,1,0.812329,4.01
Bronx,All,1-2 nights,High fixed price,0.673973,0.884932,0.969863,0.230137,1.0,17,0.745205,13.97
Bronx,All,1-2 nights,Normal/lower fixed price,0.338356,0.745205,0.912329,0.0,1.0,26,0.745205,0.0
Bronx,All,3-6 nights,High fixed price,0.389041,0.734247,0.867123,0.0,1.0,3,0.745205,-1.1
Bronx,All,3-6 nights,Normal/lower fixed price,0.410959,0.59726,0.849315,0.0,1.0,9,0.745205,-14.79
Bronx,All,30+ nights,High fixed price,0.739726,0.99726,1.0,0.349315,1.0,41,0.745205,25.21
Bronx,All,30+ nights,Normal/lower fixed price,0.641096,0.906849,1.0,0.10274,1.0,284,0.745205,16.16
Bronx,All,7-29 nights,Normal/lower fixed price,0.724658,0.816438,0.908219,0.449315,1.0,2,0.745205,7.12
Bronx,Entire home/apt,1-2 nights,High fixed price,0.826712,0.973973,0.990411,0.581164,1.0,4,0.586301,38.77
Bronx,Entire home/apt,1-2 nights,Normal/lower fixed price,0.142466,0.586301,0.884932,0.0,1.0,9,0.586301,0.0
Bronx,Entire home/apt,3-6 nights,Normal/lower fixed price,0.10411,0.10411,0.10411,0.10411,0.10411,1,0.586301,-48.22
Bronx,Entire home/apt,30+ nights,High fixed price,0.517123,0.953425,0.999315,0.0,1.0,18,0.586301,36.71
Bronx,Entire home/apt,30+ nights,Normal/lower fixed price,0.632877,0.889041,1.0,0.082192,1.0,158,0.586301,30.27
Bronx,Private room,1-2 nights,High fixed price,0.673973,0.736986,0.945205,0.267123,1.0,13,0.750685,-1.37
Bronx,Private room,1-2 nights,Normal/lower fixed price,0.624658,0.750685,0.934247,0.160274,1.0,17,0.750685,0.0
Bronx,Private room,3-6 nights,High fixed price,0.389041,0.734247,0.867123,0.0,1.0,3,0.750685,-1.64
Bronx,Private room,3-6 nights,Normal/lower fixed price,0.425342,0.636986,0.860274,0.0,1.0,8,0.750685,-11.37
Bronx,Private room,30+ nights,High fixed price,0.980822,0.99726,1.0,0.952055,1.0,23,0.750685,24.66
Bronx,Private room,30+ nights,Normal/lower fixed price,0.663014,0.919178,1.0,0.157534,1.0,126,0.750685,16.85
Bronx,Private room,7-29 nights,Normal/lower fixed price,0.724658,0.816438,0.908219,0.449315,1.0,2,0.750685,6.58
Brooklyn,All,1-2 nights,High fixed price,0.432877,0.668493,0.864384,0.0,1.0,256,0.652055,1.64
Brooklyn,All,1-2 nights,Normal/lower fixed price,0.358904,0.652055,0.883562,0.0,1.0,179,0.652055,0.0
Brooklyn,All,3-6 nights,High fixed price,0.326027,0.619178,0.849315,0.0,1.0,185,0.652055,-3.29
Brooklyn,All,3-6 nights,Normal/lower fixed price,0.25274,0.572603,0.810274,0.0,1.0,98,0.652055,-7.95
Brooklyn,All,30+ nights,High fixed price,0.473973,0.739726,0.994521,0.0,1.0,704,0.652055,8.77
Brooklyn,All,30+ nights,Normal/lower fixed price,0.386301,0.720548,0.953425,0.0,1.0,1815,0.652055,6.85
Brooklyn,All,7-29 nights,High fixed price,0.112329,0.186301,0.40411,0.0,0.841781,7,0.652055,-46.58
Brooklyn,All,7-29 nights,Normal/lower fixed price,0.391781,0.616438,0.857534,0.0,1.0,9,0.652055,-3.56
Brooklyn,Entire home/apt,1-2 nights,High fixed price,0.423288,0.70137,0.869863,0.0,1.0,72,0.654795,4.66
Brooklyn,Entire home/apt,1-2 nights,Normal/lower fixed price,0.356164,0.654795,0.879452,0.0,1.0,65,0.654795,0.0
Brooklyn,Entire home/apt,3-6 nights,High fixed price,0.376712,0.590411,0.815068,0.0,1.0,50,0.654795,-6.44
Brooklyn,Entire home/apt,3-6 nights,Normal/lower fixed price,0.342466,0.580822,0.791096,0.0,1.0,32,0.654795,-7.4
Brooklyn,Entire home/apt,30+ nights,High fixed price,0.421918,0.736986,0.980822,0.0,1.0,492,0.654795,8.22
Brooklyn,Entire home/apt,30+ nights,Normal/lower fixed price,0.372603,0.660274,0.915068,0.0,1.0,1235,0.654795,0.55
Brooklyn,Entire home/apt,7-29 nights,Normal/lower fixed price,0.508219,0.624658,0.741096,0.158904,1.0,2,0.654795,-3.01
Brooklyn,Private room,1-2 nights,High fixed price,0.436986,0.665753,0.855479,0.0,1.0,180,0.636986,2.88
Brooklyn,Private room,1-2 nights,Normal/lower fixed price,0.376027,0.636986,0.876027,0.0,1.0,108,0.636986,0.0
Brooklyn,Private room,3-6 nights,High fixed price,0.254795,0.617808,0.85,0.0,1.0,132,0.636986,-1.92
Brooklyn,Private room,3-6 nights,Normal/lower fixed price,0.164384,0.512329,0.731507,0.0,1.0,61,0.636986,-12.47
Brooklyn,Private room,30+ nights,High fixed price,0.652055,0.920548,1.0,0.130137,1.0,205,0.636986,28.36
Brooklyn,Private room,30+ nights,Normal/lower fixed price,0.420548,0.739726,0.99726,0.0,1.0,568,0.636986,10.27
Brooklyn,Private room,7-29 nights,High fixed price,0.112329,0.186301,0.40411,0.0,0.841781,7,0.636986,-45.07
Brooklyn,Private room,7-29 nights,Normal/lower fixed price,0.343836,0.616438,0.79863,0.0,1.0,7,0.636986,-2.05
Brooklyn,Shared room,1-2 nights,High fixed price,0.688356,0.90274,0.917808,0.344178,1.0,4,0.70411,19.86
Brooklyn,Shared room,1-2 nights,Normal/lower fixed price,0.225342,0.70411,0.965068,0.0,1.0,6,0.70411,0.0
Brooklyn,Shared room,3-6 nights,High fixed price,0.753425,0.887671,0.891781,0.54589,1.0,3,0.70411,18.36
Brooklyn,Shared room,3-6 nights,Normal/lower fixed price,0.863014,0.909589,0.969863,0.70274,1.0,5,0.70411,20.55
Brooklyn,Shared room,30+ nights,High fixed price,0.994521,0.99726,1.0,0.986301,1.0,7,0.70411,29.32
Brooklyn,Shared room,30+ nights,Normal/lower fixed price,0.644521,0.80411,1.0,0.111301,1.0,12,0.70411,10.0
Manhattan,All,1-2 nights,High fixed price,0.287671,0.621918,0.821918,0.0,1.0,135,0.394521,22.74
Manhattan,All,1-2 nights,Normal/lower fixed price,0.160274,0.394521,0.703425,0.0,1.0,32,0.394521,0.0
Manhattan,All,3-6 nights,High fixed price,0.254795,0.565753,0.828082,0.0,1.0,120,0.394521,17.12
Manhattan,All,3-6 nights,Normal/lower fixed price,0.128767,0.360274,0.55411,0.0,1.0,26,0.394521,-3.42
Manhattan,All,30+ nights,High fixed price,0.471233,0.736986,0.991781,0.0,1.0,669,0.394521,34.25
Manhattan,All,30+ nights,Normal/lower fixed price,0.331507,0.664384,0.920548,0.0,1.0,1072,0.394521,26.99
Manhattan,All,7-29 nights,High fixed price,0.213699,0.490411,0.6,0.0,1.0,13,0.394521,9.59
Manhattan,All,7-29 nights,Normal/lower fixed price,0.441096,0.843836,0.848147,0.0,1.0,3,0.394521,44.93
Manhattan,Entire home/apt,1-2 nights,High fixed price,0.427397,0.650685,0.84589,0.0,1.0,68,0.293151,35.75
Manhattan,Entire home/apt,1-2 nights,Normal/lower fixed price,0.15137,0.293151,0.740411,0.0,1.0,10,0.293151,0.0
Manhattan,Entire home/apt,3-6 nights,High fixed price,0.249315,0.520548,0.808219,0.0,1.0,61,0.293151,22.74
Manhattan,Entire home/apt,3-6 nights,Normal/lower fixed price,0.161644,0.413699,0.523288,0.0,1.0,13,0.293151,12.05
Manhattan,Entire home/apt,30+ nights,High fixed price,0.447945,0.736986,0.980822,0.0,1.0,502,0.293151,44.38
Manhattan,Entire home/apt,30+ nights,Normal/lower fixed price,0.326027,0.641096,0.915068,0.0,1.0,729,0.293151,34.79
Manhattan,Entire home/apt,7-29 nights,High fixed price,0.213014,0.454795,0.620548,0.0,1.0,10,0.293151,16.16
Manhattan,Entire home/apt,7-29 nights,Normal/lower fixed price,0.239726,0.441096,0.642466,0.0,1.0,2,0.293151,14.79
Manhattan,Private room,1-2 nights,High fixed price,0.165068,0.409589,0.74863,0.0,1.0,66,0.435616,-2.6
Manhattan,Private room,1-2 nights,Normal/lower fixed price,0.165753,0.435616,0.674658,0.0,1.0,22,0.435616,0.0
Manhattan,Private room,3-6 nights,High fixed price,0.286301,0.568493,0.829452,0.0,1.0,58,0.435616,13.29
Manhattan,Private room,3-6 nights,Normal/lower fixed price,0.087671,0.284932,0.586301,0.0,1.0,13,0.435616,-15.07
Manhattan,Private room,30+ nights,High fixed price,0.488356,0.738356,0.99726,0.0,1.0,162,0.435616,30.27
Manhattan,Private room,30+ nights,Normal/lower fixed price,0.376712,0.709589,0.978082,0.0,1.0,335,0.435616,27.4
Manhattan,Private room,7-29 nights,High fixed price,0.352055,0.490411,0.510959,0.113699,0.749315,3,0.435616,5.48
Manhattan,Shared room,1-2 nights,High fixed price,0.810959,0.810959,0.810959,0.810959,0.810959,1,,
Manhattan,Shared room,3-6 nights,High fixed price,0.830137,0.830137,0.830137,0.830137,0.830137,1,,
Manhattan,Shared room,30+ nights,High fixed price,0.687671,0.734247,0.739726,0.609589,0.817808,5,,
Manhattan,Shared room,30+ nights,Normal/lower fixed price,0.238356,0.491781,0.938356,0.0,1.0,8,,
Manhattan,Shared room,7-29 nights,Normal/lower fixed price,0.852459,0.852459,0.852459,0.852459,0.852459,1,,
Queens,All,1-2 nights,High fixed price,0.555479,0.793151,0.922603,0.004795,1.0,102,0.731507,6.16
Queens,All,1-2 nights,Normal/lower fixed price,0.427397,0.731507,0.89589,0.0,1.0,151,0.731507,0.0
Queens,All,3-6 nights,High fixed price,0.664384,0.893151,0.954795,0.228767,1.0,35,0.731507,16.16
Queens,All,3-6 nights,Normal/lower fixed price,0.249315,0.484932,0.775342,0.0,1.0,61,0.731507,-24.66
Queens,All,30+ nights,High fixed price,0.726027,0.950685,1.0,0.315068,1.0,183,0.731507,21.92
Queens,All,30+ nights,Normal/lower fixed price,0.490411,0.753425,0.99726,0.0,1.0,889,0.731507,2.19
Queens,All,7-29 nights,High fixed price,0.250685,0.427397,0.683562,0.0,1.0,3,0.731507,-30.41
Queens,All,7-29 nights,Normal/lower fixed price,0.436986,0.624658,0.649315,0.118493,0.967808,3,0.731507,-10.68
Queens,Entire home/apt,1-2 nights,High fixed price,0.550685,0.775342,0.915068,0.00411,1.0,37,0.686301,8.9
Queens,Entire home/apt,1-2 nights,Normal/lower fixed price,0.582192,0.686301,0.882877,0.131164,1.0,46,0.686301,0.0
Queens,Entire home/apt,3-6 nights,High fixed price,0.683562,0.731507,0.876712,0.393836,1.0,7,0.686301,4.52
Queens,Entire home/apt,3-6 nights,Normal/lower fixed price,0.361644,0.613699,0.816438,0.0,1.0,25,0.686301,-7.26
Queens,Entire home/apt,30+ nights,High fixed price,0.690411,0.90411,0.99726,0.230137,1.0,114,0.686301,21.78
Queens,Entire home/apt,30+ nights,Normal/lower fixed price,0.490411,0.739726,0.994521,0.0,1.0,503,0.686301,5.34
Queens,Private room,1-2 nights,High fixed price,0.578082,0.836986,0.929452,0.051027,1.0,64,0.731507,10.55
Queens,Private room,1-2 nights,Normal/lower fixed price,0.349315,0.731507,0.897945,0.0,1.0,102,0.731507,0.0
Queens,Private room,3-6 nights,High fixed price,0.649315,0.917808,0.956849,0.188014,1.0,28,0.731507,18.63
Queens,Private room,3-6 nights,Normal/lower fixed price,0.136986,0.378082,0.710959,0.0,1.0,35,0.731507,-35.34
Queens,Private room,30+ nights,High fixed price,0.736301,0.99726,1.0,0.340753,1.0,64,0.731507,26.58
Queens,Private room,30+ nights,Normal/lower fixed price,0.487671,0.832877,0.99726,0.0,1.0,377,0.731507,10.14
Queens,Private room,7-29 nights,High fixed price,0.250685,0.427397,0.683562,0.0,1.0,3,0.731507,-30.41
Queens,Private room,7-29 nights,Normal/lower fixed price,0.436986,0.624658,0.649315,0.118493,0.967808,3,0.731507,-10.68
Queens,Shared room,1-2 nights,High fixed price,0.427397,0.427397,0.427397,0.427397,0.427397,1,0.739726,-31.23
Queens,Shared room,1-2 nights,Normal/lower fixed price,0.70137,0.739726,0.812329,0.534932,0.978767,3,0.739726,0.0
Queens,Shared room,3-6 nights,Normal/lower fixed price,0.517808,0.517808,0.517808,0.517808,0.517808,1,0.739726,-22.19
Queens,Shared room,30+ nights,High fixed price,0.254795,1.0,1.0,0.0,1.0,5,0.739726,26.03
Queens,Shared room,30+ nights,Normal/lower fixed price,0.246575,0.731507,0.912329,0.0,1.0,9,0.739726,-0.82
Staten Island,All,1-2 nights,High fixed price,0.410959,0.7,0.944521,0.0,1.0,4,0.868493,-16.85
Staten Island,All,1-2 nights,Normal/lower fixed price,0.576712,0.868493,0.958904,0.003425,1.0,22,0.868493,0.0
Staten Island,All,3-6 nights,High fixed price,0.627397,0.668493,0.8,0.368493,1.0,3,0.868493,-20.0
Staten Island,All,3-6 nights,Normal/lower fixed price,0.80411,0.887671,0.941096,0.59863,1.0,3,0.868493,1.92
Staten Island,All,30+ nights,High fixed price,0.490411,0.736986,0.99726,0.0,1.0,21,0.868493,-13.15
Staten Island,All,30+ nights,Normal/lower fixed price,0.613699,0.873973,0.994521,0.042466,1.0,103,0.868493,0.55
Staten Island,Entire home/apt,1-2 nights,Normal/lower fixed price,0.356164,0.561644,0.767123,0.0,1.0,2,0.561644,0.0
Staten Island,Entire home/apt,3-6 nights,Normal/lower fixed price,0.720548,0.720548,0.720548,0.720548,0.720548,1,0.561644,15.89
Staten Island,Entire home/apt,30+ nights,High fixed price,0.330137,0.70411,1.0,0.0,1.0,8,0.561644,14.25
Staten Island,Entire home/apt,30+ nights,Normal/lower fixed price,0.578082,0.873973,0.981507,0.0,1.0,68,0.561644,31.23
Staten Island,Private room,1-2 nights,High fixed price,0.410959,0.7,0.944521,0.0,1.0,4,0.846575,-14.66
Staten Island,Private room,1-2 nights,Normal/lower fixed price,0.580822,0.846575,0.931507,0.054795,1.0,19,0.846575,0.0
Staten Island,Private room,3-6 nights,High fixed price,0.627397,0.668493,0.8,0.368493,1.0,3,0.846575,-17.81
Staten Island,Private room,3-6 nights,Normal/lower fixed price,0.914384,0.941096,0.967808,0.834247,1.0,2,0.846575,9.45
Staten Island,Private room,30+ nights,High fixed price,0.712329,0.736986,0.991781,0.293151,1.0,13,0.846575,-10.96
Staten Island,Private room,30+ nights,Normal/lower fixed price,0.691781,0.835616,0.99726,0.233562,1.0,35,0.846575,-1.1
Staten Island,Shared room,1-2 nights,Normal/lower fixed price,0.986301,0.986301,0.986301,0.986301,0.986301,1,0.986301,0.0
